id,snippet,predicted_label,confidence,rationale
contractnli_298,"Microkerf Limited and ________________________________________ NON DISCLOSURE AGREEMENT Microkerf Limited 1 Coal Cart Road Birstall Industrial Estate Leicester Leicestershire LE4 3BY Tel: +44 116 267 1408 Fax: +44 116 267 1409 THIS CONFIDENTIALITY AGREEMENT is made on ___________________ BETWEEN: (1) Microkerf Limited, a company registered in the UK with registered number 04654281, and whose registered office is located at 1 Coal Cart Road, Birstall Industrial Estate, Leicester, LE4 3BY (“Microkerf”) and (2) ______________________________________________________ ______________________________________________________ ______________________________________________________ ______________________________________________________ ______________________________________________________ Microkerf Limited and __________________________ are hereinafter referred to as the “Parties” or either one thereof as “Party”. IT IS HEREBY AGREED AS FOLLOWS: 1. In this Agreement: 1.1 “Confidential Information” means: (a) all and any information, documents, data and opinions disclosed by a Party to the other Party (or otherwise acquired by one Party pursuant to this Agreement) including without limitation commercial, financial or proprietary material, pricing information, data, know-how, formulae, processes, operating methods and procedures, results, designs, drawings, specifications, industrial and or intellectual property, computer programmes or other software and any other information relating to the technology of either Party and the Discussions whether in written, electronic, pictorial, visual or oral form; magnetic, electronic, graphic or digitised format; or disclosed pursuant to discussions with any of the Affiliates, officers, employees, agents, advisors or consultants of a Party and whether or not marked or indicated as confidential; (b) information of whatever nature relating to the technology or business or properties of a Party obtained by observation during visits to its…",Confidentiality (NDA) Agreements,0.95,The document is a Non-Disclosure Agreement that outlines the definition and handling of confidential information between the parties.
contractnli_5,"Confidentiality Agreement This Confidentiality Agreement (the “Agreement”) has been prepared on behalf of bpost SA/NV, a limited liability company of public law, and the City of Brussels (the “Sellers”) with regard to the divestment of their respective surface areas (the “Sale”) in the Munt Center/Centre Monnaie (the “Munt”). In consideration of the Sellers agreeing to disclose confidential information (the “Confidential Information”) to the Candidate (“Disclosee”), the latter hereby undertakes to the Sellers that as Disclosee, they will keep confidential all and any Confidential Information received at any time. The Disclosee will procure that prior to the disclosure to any other person (including any professional advisor) of any Confidential Information, such other person is made aware of the provisions of this Agreement and the fact that the Disclosee will be liable. The Disclosee acknowledges that the Confidential Information, in as far as it relates to bpost SA/NV, could be price sensitive information and ensures compliance with the relevant legal and other provisions in this respect (including, without being limited to, the provisions of the Belgian Law of 2 August 2002 on the supervision of the financial sector and on the financial services in relation to insider dealing and market manipulation). Confidential Information shall mean the following: a) all such information, of any kind whatsoever (whether in oral, written or electronic form, and including, but not limited to, technical, commercial, financial, accounting, legal and administrative information) pertaining to the Sale of the Munt and the Sellers as may be provided to the Disclosee and their responsible managers, officers, employees, shareholders, members of the Board of Directors and advisors (including financial, legal and tax advisors and auditors) (“Representatives”), by the Sellers, their advisors or their representatives; b) all such analyses, compilations, forecasts, notes, memoranda and…",Confidentiality (NDA) Agreements,0.95,This is a Confidentiality Agreement that details the obligations of the Disclosee regarding confidential information related to a sale.
cuad_336,"[INITIALS ILLEGIBLE] [INITIALS ILLEGIBLE] 20.3.98 30.4.98 5 SCHEDULE 3 Project Managers The Publishers: Project Manager - --------------- Ian Bannerman Blackwell Science Ltd Osney Mead Oxford OX2 0EL UK e-mail: ian.bannerman@blacksci.co.uk tel: +44 (0)1865 206101 Deputy Project Manager - ---------------------- Martin Clutterbuck Blackwell Science Ltd Osney Mead Oxford OX2 0EL UK e-mail: martin.clutterbuck@blacksci.co.uk tel: +44 (0)1865 206110 Deputy Project Manager - ---------------------- Anders Geertsen Munksgaard International Publishers Ltd 35 Norre Sogade, P.O. Box 2148 1016 Copenhagen K Denmark e-mail: ag@mail.munksgaard.dk tel: +45 77 33 31 03 HealthGate: Project Manager - --------------- Mark Israel HealthGate 380 Pleasant Street Suite 230 Malden MA 02148 USA tel: 781 321 6000 Ext 248 e-mail: misra@healthgate.com Deputy Project Manager - ---------------------- Rick Lawson HealthGate 380 Pleasant Street Suite 230 Malden MA 02148 USA tel: 781 321 6000 Ext 211 e-mail: lawson@healthgate.com [INITIALS ILLEGIBLE] [INITIALS ILLEGIBLE] 20.3.98 30.4.98 6 SCHEDULE 4 3 SCHEDULE 4 ESCROW AGREEMENT When the annexed escrow agreement is entered, the terms shall include those set out in the annexed letter from NCC Escrow International, the escrow agent, of 12 March 1998 by way of variation of NCC document STD001Y2K.UK. The Required Information at ii) shall be provided by the parties. The date of the Licence Agreement shall be the date of this agreement. The name of the package shall be ""HealthGate Electronic Journal Proprietary Software"". These words shall also appear in Schedule 1 of the escrow agreement. The parties shall provide the medium on which the source code shall be supplied, which in default of agreement shall be such medium as the escrow agent NCC Escrow International Limited thinks fit. The fees to be inserted in Schedule 4 of the Escrow Agreement shall be the then applicable fees of NCC Escrow International Limited. The Escrow Agreement shall be signed by…",Confidentiality (NDA) Agreements,0.85,"The document appears to be a confidentiality agreement, but lacks clear context to classify it definitively as an NDA."
contractnli_344,"CONFIDENTIAL MUTUAL NON-DISCLOSURE AGREEMENT This MUTUAL NON-DISCLOSURE AGREEMENT (this ""Agreement"") is entered into as of September 11, 2013 by and between Sony Pictures Television Inc., having a place of business at 10202 West Washington Boulevard, Culver City, California 90232 (""Sony Pictures""), and Tribune Company, having its principal place of business at 435 North Michigan Avenue, Chicago, Illinois 60611 (""Company""). WHEREAS, Sony Pictures and Company wish to have discussions regarding potential business opportunities, including the possibility of Sony Pictures producing programming for Company affiliated stations and acquiring equity in Company (the ""Potential Transaction""); and accordingly wish to disclose to and receive from each other, from time to time during the term of this Agreement, certain confidential and proprietary information regarding their respective businesses; NOW, THEREFORE, in consideration of such disclosures and the agreements and covenants herein contained, each of Sony Pictures and Company agrees as follows: 1. Definition of Confidential Information. “Confidential Information” shall mean all information disclosed, directly or indirectly, through any means of communication or observation, by or on behalf of one party hereto (the ""Disclosing Party"") to the other party hereto (the ""Receiving Party"") on or after the date hereof, that relates to or is derived from the Disclosing Party’s business, strategic, marketing, technological or creative affairs, or to any other matter that the Receiving Party is advised or has reason to know is the confidential or proprietary information of the Disclosing Party. Any material provided by either party to the other which is clearly designated ""Confidential"" (or other similar legend) will be presumed to be Confidential Information; the absence of any such legend, however, will not preclude the same from being deemed Confidential Information. 2. Exceptions to Confidential Information. Notwithstanding any…",Confidentiality (NDA) Agreements,0.95,This is a Mutual Non-Disclosure Agreement that establishes confidentiality obligations between two companies regarding potential business opportunities.
contractnli_155,"MUTUAL NON-DISCLOSURE AGREEMENT This MUTUAL NON-DISCLOSURE AGREEMENT (the ""Agreement"") is made by and between _____ Capital, Inc., a Delaware corporation, having its principal place of business at _______________, and ___________, having its principal place of business ________________. WHEREAS, in the course of business the parties will share Confidential Information (as defined below) with each other, the parties agree to the following terms and conditions. 1. Confidential Information. As used herein, ""Confidential Information"" shall mean any and all oral and written proprietary information provided by one party (the ""Provider"") to the other (the ""Recipient""), including but not limited to financial documents, customer lists, development plans, business plans, trade secrets, and intellectual property. ""Confidential Information"" does not include information that (i) is generally available to the public on the date of this agreement, (ii) becomes generally available to the public other than as a result of a disclosure not otherwise permissible hereunder, (iii) was in the Recipient's possession prior to disclosure by the Provider, except to the extent that the Recipient received the information in violation of any requirement of confidentiality of which the Recipient was aware or reasonably should have been aware, or (iv) is made available to the Recipient lawfully and in good faith by a third party who Recipient reasonably believes is not under an obligation to keep such information confidential. 2. Use of Confidential Information. Each party agrees that at all times and notwithstanding any termination or expiration of this Agreement it will hold in strict confidence and not disclose to any third party Confidential Information of the other, except as approved in advance in writing by the other party to this Agreement, and will use the Confidential Information for no purpose other than evaluating or pursuing a business relationship with the other party to this…",Confidentiality (NDA) Agreements,0.95,The contract is a Mutual Non-Disclosure Agreement that outlines the obligations of the parties to maintain confidentiality regarding shared proprietary information.
contractnli_615,"Exhibit (d)(3) CONFIDENTIALITY AGREEMENT THIS CONFIDENTIALITY AGREEMENT (this “Agreement”) is made and entered into as of this 19th day of September, 2018, by and between Tower International, Inc. (the “Disclosing Party”) and Autokiniton Global Group, Inc. (the “Recipient” or “AGG”). RECITALS A. The Recipient has expressed an interest in having the Disclosing Party provide certain financial, business, legal or other information to the Recipient in connection with a potential transaction involving the Disclosing Party, on the one hand, and the Recipient or any controlled affiliate thereof, on the other hand (the “Proposed Transaction”). B. In connection with the provision of such information, the Recipient has agreed to maintain the confidentiality of, and agreed to restrict the use of, such information and to certain other restrictions as set forth herein. AGREEMENT In consideration of the foregoing premises and the mutual covenants and the agreements hereafter set forth, and other good and valuable consideration the receipt and sufficiency of which are hereby acknowledged, the parties hereto, intending to be legally bound, hereby agree as follows: Section 1. Definitions. As used in this Agreement, the following terms have the meanings stated in this Section 1: “Evaluation Material” means (a) all confidential and/or proprietary information, data, agreements, documents, reports, “know-how”, interpretations, plans, studies, forecasts, projections and records (whether in oral or written form, electronically stored or otherwise) containing or otherwise reflecting information concerning the Disclosing Party, any of its subsidiaries or affiliates, their respective businesses or assets and other similar information whether received before (but following August 2, 2018), on or after the date of this Agreement, (b) all memoranda, notes, analyses, compilations, studies or other documents to the extent the same reflect, were developed based upon or which include any such…",Confidentiality (NDA) Agreements,0.95,This is a Confidentiality Agreement that specifies the terms under which the Recipient must maintain the confidentiality of the information provided by the Disclosing Party.
contractnli_81,"RECIPROCAL NON-DISCLOSURE AGREEMENT This Corporate Non-Disclosure Agreement (“Agreement”) is entered into and made effective as of the date set forth below, by and between ClearCenter, Corp. and the Participant, as identified below, and its affiliates / worldwide subsidiaries (the ""Participant""). THE PARTIES AGREE AS FOLLOWS: 1. Confidential Information. The confidential, proprietary and trade secret information of the disclosing party (“Confidential Information”) to be disclosed hereunder is (i) information in tangible form that bears a “confidential,” “proprietary,” “secret,” or similar legend, and (ii) discussions relating to that information whether those discussions occur prior to, concurrent with, or following disclosure of the information. The disclosing party shall make reasonable efforts to mark its confidential information in tangible form with any of the aforementioned legends prior to disclosure. However, the disclosing party’s information in tangible form that does not bear any of these legends, and discussions relating to that information, shall nevertheless be protected hereunder as Confidential Information, if the receiving party knew, or should have reasonably known under the circumstances, that the information was confidential and had been communicated to it in confidence. 2. Obligations of Receiving Party. The receiving party will maintain the confidentiality of the Confidential Information of the disclosing party with at least the same degree of care that it uses to protect its own confidential and proprietary information, but no less than a reasonable degree of care under the circumstances. The receiving party will not disclose any of the disclosing party’s Confidential Information to any employees or to any third parties except to the receiving party’s employees, parent company, affiliates and subsidiaries who have a need to know and who agree to abide by nondisclosure terms at least as comprehensive as those set forth herein; provided that…",Confidentiality (NDA) Agreements,0.95,The contract is a Corporate Non-Disclosure Agreement that establishes the obligations of the parties to protect confidential information shared between them.
contractnli_27,"MUTUAL NON-DISCLOSURE AGREEMENT This Mutual Non-Disclosure Agreement ('Agreement"") is made and entered into as of __________, 20__ (""Effective Date"") by and between ______________________________ (“Producer”) and___________________________________, (“Agency”) (each a ""Party"" and collectively referred to herein as the ""Parties""). For purposes of this Agreement “Agency” means the undersigned Advertising Agency, “Client” means the advertiser client of the Agency identified on the signature page of this Agreement; “Commercial” means a commercial production referred to in the Producer’s bid/specification form. The term “Agency Affiliate” means (i) the wholly owned subsidiary of the Agency’s parent (“Owner”) where the Agency is also a wholly owned subsidiary (ii) which Agency Affiliate is an advertising agency and does not operate as a commercial production, post production business or acts as an in-house cost consulting entity. Agency represents that it is soliciting bona fide bids for the production of the Commercial and Producer represents that its bid, if submitted, shall be a bona fide bid. If the terms and conditions of this Agreement are inconsistent with those in Client’s or Agency’s bid/specification form, production agreement or purchase order that address the subject matter of this Agreement, the terms and conditions of this Agreement shall control. Agency is signing this Agreement for itself and for its Client who is also a “Party,” “Recipient” and “Discloser” under this Agreement. Now, therefore, the Parties agree as follows: 1. Confidential Information. Each Party receiving Confidential Information (as defined below) (each, a ""Recipient,"" and together, the ""Recipients""), is receiving confidential disclosure of certain confidential or proprietary technical, business, operational, financial and/or commercial information, trade secret information and/or any information of the other designated as “Confidential”, “Proprietary” or by similar designation, or which…",Confidentiality (NDA) Agreements,0.95,This Mutual Non-Disclosure Agreement details the confidentiality obligations of the parties regarding proprietary information exchanged during discussions.
contractnli_109,"Distributor/Sales and Marketing Agency Mutual Confidentiality and Non-Disclosure Agreement This Mutual Confidentiality and Non-Disclosure Agreement (this “Agreement”) is entered into this ______ day of _____________, 20__, by and between _________________________________, a ___________entity, together with its operating subsidiaries and affiliates (“Distributor”) with its principal place of business at ________________________________________________, and _______________________________________, a ____________ entity, together with its operating subsidiaries and affiliates, (“Agency”) with its principal place of business at _______________________________________________ (collectively the “Parties”). WHEREAS, Agency serves agent to one or more suppliers/manufacturers (“Principals”) in providing agency sales and marketing services in the foodservice trade channel (“Agency Sales and Marketing Services”), and WHEREAS, in the course of the provision of Agency Sales and Marketing Services for Agency’s Principals, each party (a “Disclosing Party”) may disclose to the other party (the “Recipient”) certain Confidential Information (as such term is defined herein below), which shall be deemed to be confidential; and WHEREAS, the Confidential Information may be disclosed in many such form(s) including oral and/or written disclosure, disclosure through training and/or disclosure through observation of products or prototypes of products, services, business plans, business documents, materials and/or property; NOW, THEREFORE, for and in consideration of the mutual covenants and agreements contained in this Agreement, and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Parties hereto agree as follows: 1. Definition. “Confidential Information” means, in respect to each Party: (a) any information in which such Party claims a proprietary and/or confidential interest; (b) all confidential matters of such Party including,…",Confidentiality (NDA) Agreements,0.95,The contract is a Mutual Confidentiality and Non-Disclosure Agreement that defines the terms for protecting confidential information shared between the parties.
contractnli_444,"NON-COMPETITION, REFERRAL AND NON-DISCLOSURE AGREEMENT NON-COMPETITION, REFERRAL AND NON-DISCLOSURE AGREEMENT (the ""Agreement""), dated as of May 10 , 1999, by and between CompuCom Systems, Inc., a Delaware corporation (""CompuCom""), and ENTEX Information Services, Inc., a Delaware corporation (""Seller""). RECITALS WHEREAS, CompuCom and Seller have entered into an Asset Purchase Agreement dated as of May 10 , 1999 (the ""Asset Purchase Agreement""); WHEREAS, the execution of this Agreement is a condition to CompuCom acquiring, and Seller disposing of, the Purchased Assets (as defined in the Asset Purchase Agreement) in connection with the Asset Purchase Agreement; NOW, THEREFORE, in consideration of the mutual covenants and agreements set forth herein, CompuCom and Seller hereby agree as follows: ARTICLE I DEFINITIONS 1.1 For purposes of this Agreement, the following terms have the following meanings: (1) ""Configuration"" means the preparation of a computer and related hardware and integration of components into a computer system; provided that the term ""Configuration"" shall not include installation of a computer or related hardware at a customer site. (2) ""Non-Competition Period"" means the period commencing on May 12, 1999 and ending on May 11, 2000. (3) ""Product"" means any computer or related hardware and peripherals (including hubs, switches and routers or networking hardware) or software products (including networking software products) which CompuCom has the ability to sell. (4) ""Product Business"" means the acceptance and fulfillment of customer orders for Products, including the manufacturing, channel assembly, co-location or centralized image loading and Configuration of Products; provided that the term ""Product Business"" shall not include on-site Configuration of computer or related hardware or software products made subsequent to the initial image load/configuration. (5) ""Outsourcing and Professional Services"" means (a) consulting, system migrations, project…",Confidentiality (NDA) Agreements,0.9,"This agreement includes non-competition and non-disclosure clauses, focusing on the confidentiality of proprietary information shared in connection with an asset purchase."
contractnli_353,"Confidentiality Agreement CONFIDENTIALITY AGREEMENT The present Agreement was reached on _________, 201___ BETWEEN: INVESTISSEMENTS P. A. INC., company duly incorporated under the Business Corporations Act of New Brunswick and whose head office is located at 613-3 Chemin Truite, Rivière-à-la-Truite (Trout Stream), Gloucester County, New Brunswick (hereafter “the Franchisor”); - and - _______________________, of __________________, Province of N e w B r u n s w i c k ; _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ , o f ____________________, Province of New Brunswick, and ____________________, of _____________________, Province of New Brunswick (hereafter “the potential Franchisee”); CONSIDERING THAT the Franchisor, having invested time, effort, and money, has developed a unique and distinct system which they own and the aim of which is to establish and operate café/bistro-style restaurants with drive-thru service under the name “Tazza Caffe” (hereafter “the Franchise”); CONSIDERING THAT the potential Franchisee is initiating discussions with the Franchisor regarding the possibility of reaching a Franchise Agreement; CONSIDERING THAT, during these discussions, the potential Franchisee may acquire information considered confidential, non-public, or exclusive in nature; CONSIDERING THAT the potential Franchisee recognizes that the Franchisor is asking them to refrain from discussing the Franchise project and from disclosing any information (be it by written, oral, or electronic channels) to a third party (as described below), even if the information is known to the general public, since discussions between the potential Franchisee and a third party could jeopardize or be detrimental to the Franchisor’s interests; CONSIDERING THAT the potential Franchisee has received information—financial, operational, and other—concerning the Franchisor, including confidential, non-public information. This information has been requested by the potential Franchisee so that they…",Confidentiality (NDA) Agreements,0.95,The contract is a Confidentiality Agreement that outlines the obligations of the parties to maintain confidentiality regarding proprietary information.
contractnli_138,"LAST MAN STANDS INTERNATIONAL NON-DISCLOSURE AGREEMENT THIS AGREEMENT is made on ____________________________________ (Date) BETWEEN 1. Last Man Stands, (the ""Disclosing Party""); and 2. _____________, (the ""Receiving Party""), Collectively referred to as the ""Parties"". RECITALS A. The Receiving Party understands that the Disclosing Party has disclosed or may disclose information relating to Last Man Stands which to the extent previously, presently, or subsequently disclosed to the Receiving Party is hereinafter referred to as ""Proprietary Information"" of the Disclosing Party. OPERATIVE PROVISIONS 1. In consideration of the disclosure of Proprietary Information by the Disclosing Party, the Receiving Party hereby agrees: (i) to hold the Proprietary Information in strict confidence and to take all reasonable precautions to protect such Proprietary Information (including, without limitation, all precautions the Receiving Party employs with respect to its own confidential materials), (ii) not to disclose any such Proprietary Information or any information derived there from to any third person, (iii) not to make any use whatsoever at any time of such Proprietary Information except to evaluate internally its relationship with the Disclosing Party, and (iv) not to copy or reverse engineer any such Proprietary Information. The Receiving Party shall procure that its employees, agents and sub-contractors to whom Proprietary Information is disclosed or who have access to Proprietary Information sign a nondisclosure or similar agreement in content substantially similar to this Agreement. For a period of eighteen months following the execution of this agreement to the Receiving Party shall not, directly or indirectly hire, solicit, or encourage to leave the Disclosing Party employment, any employee, contractor or player of the Disclosing Party or hire any such employee or contractor who has left the Disclosing Parties employment, contractual engagement or player within one year…",Confidentiality (NDA) Agreements,0.95,This is a Non-Disclosure Agreement that specifies the obligations of the Receiving Party to protect proprietary information disclosed by the Disclosing Party.
contractnli_14,"CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT GOVERNING THE INSPECTION OF STOCKHOLDER LIST This Confidentiality and Non-Disclosure Agreement Governing the Inspection of Stockholder List (the “Agreement”) is entered into between Patriot Scientific Corporation (the “Company”), and the “Stockholder”. The Company and the Stockholder are each individually referred to herein as a “Party” and are collectively referred to as the “Parties.” WHEREAS, on or about April 30, 2015, the Stockholder made a demand (the “Demand”) to inspect the stockholder list of the Company; WHEREAS, pursuant to the Demand and subject to the Stockholder executing this Agreement, the Company has agreed to allow the Stockholder to inspect the stockholder list (which, together with information or analyses derived from information made available for inspection, is referred to as the “Confidential Material”); WHEREAS, the Company believes that stockholder list contains confidential information; IT IS HEREBY AGREED, by and between the Parties, this 30th day of April 2015, as follows: 1. Stockholder agrees that the Confidential Material is being produced to them only for purposes reasonably related to Stockholder’s interests as a stockholder of the Company and that Stockholder shall not utilize Confidential Material, any other information produced by the Company or anything derived from Confidential Material or derived from any other information produced by the Company for any other purpose. 2. The Stockholder will not disclose, publish, or communicate Confidential Material to any person or entity in any form (written, oral, electronic or through any other medium), either directly or indirectly, except as provided in this Confidentiality Agreement to end; provided that in no event shall stockholder, directly or indirectly, publically disclose, publish or communicate names, addresses, holdings of any other stockholder. 3. If the Stockholder is required (by interrogatory, subpoena, civil investigatory…",Confidentiality (NDA) Agreements,0.95,"The contract is a Confidentiality and Non-Disclosure Agreement that governs the inspection of a stockholder list, emphasizing the confidentiality of the information."
contractnli_574,"Exhibit (d)(3) NON-DISCLOSURE AGREEMENT THIS NON-DISCLOSURE AGREEMENT (the “Agreement”) is made and entered into this 31st day of January, 2018, by and between ZEBRA TECHNOLOGIES CORPORATION, a Delaware corporation (“COMPANY”) and XPLORE TECHNOLOGIES CORP., a Delaware corporation (“XPLORE”). COMPANY and XPLORE sometimes are referred to herein as a “Party” and collectively as the “Parties.” WHEREAS, each of COMPANY and XPLORE possesses certain non-public, confidential and/or proprietary information relating to its businesses that it proposes to disclose to the other Party (the “COMPANY Information”, and the “XPLORE Information”, respectively, and collectively, the “Information”) for the purpose of evaluating a possible transaction (a “Transaction”) between COMPANY and XPLORE (the “Permitted Use”); NOW, THEREFORE, in consideration of the mutual promises contained herein, COMPANY and XPLORE hereby agree as follows: 1. Each of COMPANY and XPLORE agrees to hold the other Party’s Information in confidence in accordance with the provisions hereof. 2. Without the prior written consent of the other Party or except as otherwise provided herein, neither COMPANY nor XPLORE will: (i) distribute or disclose to any other person any of the other Party’s Information; (ii) permit any other person to have access to the other Party’s Information; (iii) use the other Party’s Information for any purpose other than the Permitted Use; (iv) (A) use the other Party’s Information in any way that would allow it to obtain a competitive advantage with respect to such Party or (B) reverse engineer such other Party’s Information; or (v) disclose to any other person (A) that discussions, investigations or negotiations are taking place concerning a possible transaction between the Parties, or (B) the terms, conditions, status or other facts regarding a possible transaction between the Parties, or (C) that a Party has received Information from the other Party. In addition, the Parties agree that any…",Confidentiality (NDA) Agreements,0.95,"The contract is a Non-Disclosure Agreement that outlines the obligations of the parties to keep certain information confidential, which aligns with the definition of Confidentiality (NDA) Agreements."
contractnli_86,"NON-DISCLOSURE AGREEMENT AND TERMS OF PARTICIPATION Table of Content 1 Eligibility ..........................................................................................................................................2 2 Procedure and terms of participation ...............................................................................................3 3 Payment ..........................................................................................................................................4 4 Definition of confidential information ..............................................................................................4 5 Non-disclosure of confidential information / obligations of Mentor .................................................4 6 Discontinuation of use, return of materials ......................................................................................5 7 Notice of required disclosure ...........................................................................................................5 8 Proprietary rights, limited right to use ..............................................................................................6 9 Term ................................................................................................................................................6 10 Governing law ................................................................................................................................6 11 Jurisdiction .....................................................................................................................................6 12 Notification of unauthorised use ....................................................................................................6 13 Remedies .......................................................................................................................................7 14 Miscellaneous…",Confidentiality (NDA) Agreements,0.95,"This document is a Non-Disclosure Agreement that specifies the terms of confidentiality and obligations of the parties, fitting the criteria for Confidentiality (NDA) Agreements."
contractnli_3,"OISAIR PROJECT TWO-WAY CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT (TO BE SIGNED ELECTRONICALLY THROUGH THE INNOVAIR PLATFORM) This Confidentiality and Non-Disclosure Agreement (hereinafter referred to as the “Agreement”) dated ………………………. (“Effective Date”) is made by and between: 1) <Research institution name> with registered offices located in ……………………………, Tax registration No ………, represented by ………………………………….., in the legal capacity as …………………….. Hereinafter referred to as “………………..” 2) <Company name> with registered offices located in ………………………….. Tax registration No. ……………, represented by …………………………., in the legal capacity as ………………………….. Hereinafter referred to as “………………..” The above parties hereinafter collectively referred to as the “Parties” and individually as a “Party”. WHEREAS The Parties are willing to exchange Confidential Information in the form of certain scientific, technical and commercial information, that will include confidential and proprietary material relating to ………………… (the “Field”) and the Receiving Party may use this Confidential Information for the sole consideration of assessing whether to enter into a potential or proposed business collaboration with the Disclosing Party for the joint development of the technology ………………………… (the “Permitted Purpose”) subject to the terms and conditions of this Agreement. IT IS AGREED as follows: 1. Definition and interpretation In this Agreement, the following terms will have the respective meanings: “Confidential Information” shall mean scientific, research, technical or business information pertaining to the Field, including but not limited to inventions; know-how; trade secrets; techniques; processes; designs; drawings; product designs; formulae and analysis; and any business information, including but not limited to price lists; customer lists; cost analyses; reports; surveys, market information and data. In respect of Confidential Information disclosed in documentary form, model or any other…",Confidentiality (NDA) Agreements,0.95,"The text describes a Confidentiality and Non-Disclosure Agreement, which is focused on protecting confidential information exchanged between parties, thus categorizing it as a Confidentiality (NDA) Agreement."
contractnli_53,"File Ref No: CCS/SALT CAVERN/RFP/NDA CONFIDENTIALITY AGREEMENT THIS AGREEMENT is made on of 2016 BETWEEN: (1) ENERGY TECHNOLOGIES INSTITUTE LLP, a limited liability partnership (company no. OC333553) whose registered office is at Holywell Building, Holywell Way, Loughborough, Leicestershire, LE11 3UZ (the “ETI”); and (2) The parties named in Schedule 1 of this Agreement (the “Respondents”), (collectively the “Parties” and individually a “Party”) BACKGROUND: The Parties intend to exchange certain Information on or after the Effective Date for or in relation to the Purpose. The Parties agree to receive such Information, and to treat it as confidential information, on the following terms and conditions. IT IS AGREED: In consideration of the above and for other good and valuable consideration the receipt and sufficiency of which is hereby acknowledged, and intending to be legally bound, the Parties agree as follows: 1. In this Agreement, unless the context requires otherwise, the following words shall have the following meanings: “Disclosing Party” means any Party that discloses Information pursuant to this Agreement; “Effective Date” means the date of execution of this Agreement; “ETI Affiliates” means the Secretary of State for Business, Innovation and Skills (and any successor governmental department or agency from time to time) and any other entity which is entitled to appoint the directors or otherwise having the ability to direct management policies of the ETI (together with any affiliates of those entities), together with their respective officers, employees, agents and consultants; “Information” means any and all confidential information or data exchanged, submitted or otherwise disclosed in respect of or further to the Purpose or prepared for or in relation to the Purpose, including but not limited to written proposal documentation, due diligence materials, contractual documentation, reports, and the fact that the Parties have entered into this Agreement and…",Confidentiality (NDA) Agreements,0.95,"This is a Confidentiality Agreement that establishes the terms for handling confidential information, which is characteristic of Confidentiality (NDA) Agreements."
cuad_234,"Exhibit 10.1 ENDORSEMENT AGREEMENT THIS ENDORSEMENT AGREEMENT (the ""Agreement"") is dated as of this ____day of ____________, 2012, but made effective as of February 20, 2012 (""Effective Date"") between Healthcare Distribution Specialists LLC (""HDS""), a Delaware corporation, and Paul Silas (""Celebrity), an individual. AGREEMENT 1. Engagement. HDS engages Celebrity and Celebrity hereby accepts the engagement to provide for his endorsement of HDS' product, Clotamin in the United States (Territory"") as further outlined herein. In addition, it is understood and agreed that with respect to the Website, as defined below, the Territory shall be worldwide. 2. Term of Agreement. The term of this Agreement shall be for one (1) year commencing on the Effective Date and ending on February 19, 2013 (""Term""). 3. Grant. During the Term and subject to the limitations set forth in Paragraphs 9 and 10, HDS shall have the right to use the name, image, likeness, characterization, visual and audio representation of Celebrity (""Celebrity Attributes"") in connection with HDS' product, Clotamin, in the Territory as follows: A. In a television commercial (specific spot length to be mutually agreed upon) promoting Clotamin (""Commercial"") aired specifically in the following three (3) television markets: (1) Washington, DC Metro Area; (2) Florida; and (3) Texas (collectively ""Markets""); B. On HDS' website (www.clotamin.corn) (""Website""); and C. In Clotamin-related press releases. D. In connection with any HDS' usage of Celebrity Attributes as outlined above in Paragraphs 3(A)-(C), HDS will feature the following disclaimer in close proximity to said usage: ""PAUL SILAS IS NOT A MEDICAL AUTHORITY. THESE STATEMENTS HAVE NOT BEEN EVALUATED BY THE FOOD AND DRUG ADMINISTRATION. THIS PRODUCT IS NOT INTENDED TO DIAGNOSE, TREAT, CURE OR PREVENT ANY DISEASE."" 4. Duties of Celebrity and Rights of HDS. During the Term and subject to the limitations set forth in Paragraphs 9 and 10, Celebrity agrees to…",Confidentiality (NDA) Agreements,0.95,"The contract is an Endorsement Agreement that includes confidentiality provisions, but primarily serves as a Non-Disclosure Agreement, fitting the definition of Confidentiality (NDA) Agreements."
